# FASTPQ Digest384 independent Python bigint/hashlib reference v1
# parameter_sha3_256=84c5055b47cc7289835e0a5f31d4563849244ffddbf51f5d67b1db95222ce3e6
# name	catalog_hex	protocol_hex	profile_hex	role_hex	phase_hex	level	index	counter	fields_hex_comma_or_dash	digest_hex
no-fields	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	-	8aae5550aaf2c890580982efc5e705b6deff1b39026ef99b45476dc34d5ec5dc583ef144ec97828112e3cd550492c9c0
empty-field	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0		a1db6efa2969a0276174b0e5458e66e2a57d97ec07480d770d1647e2a8f8514b7aa783fbb1efdb11da8ac35337196def
split-fields	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	616263,646566	61a30aed750e8d655060be10f08788bb759a283c54048a477faedb39d391f4d5fc3627061a38d680596d7b7f7ecc92d5
joined-fields	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	616263646566	d181f73fee1de12ba105835e85dc409adc2f6198a8fefde7a17591f34a657e1ccacd869e13a04e60f9770cd51a8fa066
trailing-zero	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	61626364656600	65441d411012f2b7018a47d4a14dac9ec1053e89f14dc8df001973f266745e66bc1c9cee6d89f52f66e42179e6b13ec6
length-1	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,b6	69d6581bc53d0b07032a3eea287a6cc26c9a083a87304a94e5fba39ff71920e0f1318aa2a91b1310b899ddf7393e471b
length-6	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,d71ea1e8337a	d8608c558ef1adabc5aa709a534893bfd2acb519b4e4d4cf015e47538134fcc6c2c1f777a3be684c05b92d8f0b03530a
length-7	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,206bb2c50c579e	ecb693657835c03a8dc1396777fd3b3a014ec882b17e1caeb8f826b2889fa03a5fe9f7a02a940e1b8fb9d8e2ec27e214
length-8	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,3d448fd619a0eb32	9ce39d49cd5dd290e57d74e541cde52758d76c6016d3c93934ffc12b7d8006a288e171c406caa643104b6c012c8fa772
length-13	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,52e52c77bec108539a2d74bfc6	18a237829c8f4e41f2282559f0c3db3c24c3c2fc4b1e183560ba1bcef9a0ef35c7fca6931d0118ef1f90e8ff07743a3b
length-14	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,aff639408bd265acf73e4188d31a	71bdaedc62aa742aab7683beeeaf2a22796e8efad80ba31627f91f5c0619c2250a3988733f155d49d2ce975ee397b181
length-15	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,b8c30a5de42f76b9c00b52e52c77be	b85133418c8541a8193646257040342cdd5122508c384e095ac2fc4a374f253c50f2318e98b7363c001f7361a8e7dee7
length-16	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,95dc67aef138438add64aff639408bd2	7727437cc8521c4ae2d3c9fad5adfcb57f5391b68278a0c703c10e8f2c1688a68411d38a4e4b5601a6a034fd7edffd74
length-27	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,a4ef367980cb12a5ec377e81c8135aed347f86c9105be2357c87ce	a4218082bf9dc7be2bf32066393c5589a51b7a4dd2b650fa32f0afa8d298c9ec634a9965d050babb133dff8ef443b8f3
length-28	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,b1f8034a9d246fb6f9004b92256cb7fe014893da6db4ff064990db62	7680bb1138ba6578d128c5a87c30f7d883bc32112178513e9f69f9b3753319398992e106ac4cb55db59166e395e35ab4
length-29	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,82d51ca7ee317883ca1da4ef367980cb12a5ec377e81c8135aed347f86	b28e05c2129dc00752908cad249797b834ce2dbae02ab5a3b434ab5d3d4629a0bb796162f872579822be9db36483ccf8
length-55	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,b0fb02559c276eb1f8034a9d246fb6f9004b92256cb7fe014893da6db4ff064990db62b5fc074e91d863aafd044f96d960abf2054c97de	1d67cc73679738c377b92eb896868d17a754743b69e24e8aebcf4d08b0258144439abc56617367558da76cc12b33f104
length-56	69726f68612d707269766163792d657861637431322d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470712d73746174652d7472616e736974696f6e2d737461726b2d7631	6661737470713a76313a6169722d7472616365	6c656166	0	7	0	,66697865642d707265666978,8dd41fa6e9307b82d51ca7ee317883ca1da4ef367980cb12a5ec377e81c8135aed347f86c9105be2357c87ce1158e32a7d84cf1659e02b72	47774aa89ec163c9d7a5f0cc70a3596e95830867ff84df750c0a6ec0b9d1f2a175785f7162dcca9cd42e0ebdb3014fd2
