ivm-iso20022-schema-v1	19	193	183
record	owner	key	requirement	max_occurs	kind	values	target
schema	HEAD001	head.001	-	-	-	-	-
field	HEAD001	AppHdr/BizMsgIdr	required	none	text	-	-
field	HEAD001	AppHdr/MsgDefIdr	required	none	text	-	-
field	HEAD001	AppHdr/CreDt	required	none	datetime	-	-
field	HEAD001	AppHdr/Fr/FIId/FinInstnId/BICFI	optional	none	identifier:bic	-	-
field	HEAD001	AppHdr/To/FIId/FinInstnId/BICFI	optional	none	identifier:bic	-	-
field	HEAD001	AppHdr/BizSvc	optional	none	text	-	-
field	HEAD001	AppHdr/Fr/FIId/FinInstnId/ClrSysMmbId/MmbId	optional	none	text	-	-
field	HEAD001	AppHdr/To/FIId/FinInstnId/ClrSysMmbId/MmbId	optional	none	text	-	-
alias	HEAD001	DataPDU/AppHdr/BizMsgIdr	-	-	-	-	AppHdr/BizMsgIdr
alias	HEAD001	DataPDU/AppHdr/MsgDefIdr	-	-	-	-	AppHdr/MsgDefIdr
alias	HEAD001	DataPDU/AppHdr/CreDt	-	-	-	-	AppHdr/CreDt
alias	HEAD001	DataPDU/AppHdr/Fr/FIId/FinInstnId/BICFI	-	-	-	-	AppHdr/Fr/FIId/FinInstnId/BICFI
alias	HEAD001	DataPDU/AppHdr/To/FIId/FinInstnId/BICFI	-	-	-	-	AppHdr/To/FIId/FinInstnId/BICFI
alias	HEAD001	DataPDU/AppHdr/BizSvc	-	-	-	-	AppHdr/BizSvc
alias	HEAD001	DataPDU/AppHdr/Fr/FIId/FinInstnId/ClrSysMmbId/MmbId	-	-	-	-	AppHdr/Fr/FIId/FinInstnId/ClrSysMmbId/MmbId
alias	HEAD001	DataPDU/AppHdr/To/FIId/FinInstnId/ClrSysMmbId/MmbId	-	-	-	-	AppHdr/To/FIId/FinInstnId/ClrSysMmbId/MmbId
schema	COLR012	colr.012	-	-	-	-	-
field	COLR012	TxId	required	none	text	-	-
field	COLR012	OblgtnId	required	none	text	-	-
field	COLR012	Substitution/OriginalAmt	required	none	amount	-	-
field	COLR012	Substitution/OriginalCcy	required	none	identifier:currency	-	-
field	COLR012	Substitution/SubstituteAmt	required	none	amount	-	-
field	COLR012	Substitution/SubstituteCcy	required	none	identifier:currency	-	-
field	COLR012	Substitution/EffectiveDt	required	none	date	-	-
field	COLR012	Substitution/Type	required	none	enum	FULL|PARTIAL	-
field	COLR012	Substitution/Haircut	optional	none	numeric	-	-
field	COLR012	Substitution/OriginalFinInstrmId	optional	none	instrument	-	-
field	COLR012	Substitution/SubstituteFinInstrmId	optional	none	instrument	-	-
field	COLR012	Substitution/ReasonCd	optional	none	text	-	-
alias	COLR012	Document/CollSbstitnConf/TxId	-	-	-	-	TxId
alias	COLR012	Document/CollSbstitnConf/OblgtnId	-	-	-	-	OblgtnId
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/OrgnlColl/Amt	-	-	-	-	Substitution/OriginalAmt
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/OrgnlColl/Amt/@Ccy	-	-	-	-	Substitution/OriginalCcy
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/SubstnColl/Amt	-	-	-	-	Substitution/SubstituteAmt
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/SubstnColl/Amt/@Ccy	-	-	-	-	Substitution/SubstituteCcy
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/EffctvDt	-	-	-	-	Substitution/EffectiveDt
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/Tp	-	-	-	-	Substitution/Type
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/Rsn/Cd	-	-	-	-	Substitution/ReasonCd
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/Hrct	-	-	-	-	Substitution/Haircut
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/OrgnlColl/SctiesId/ISIN	-	-	-	-	Substitution/OriginalFinInstrmId
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/OrgnlColl/SctiesId/OthrId/Id	-	-	-	-	Substitution/OriginalFinInstrmId
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/SubstnColl/SctiesId/ISIN	-	-	-	-	Substitution/SubstituteFinInstrmId
alias	COLR012	Document/CollSbstitnConf/CollSbstitn/SubstnColl/SctiesId/OthrId/Id	-	-	-	-	Substitution/SubstituteFinInstrmId
schema	PACS008	pacs.008	-	-	-	-	-
field	PACS008	MsgId	required	none	text	-	-
field	PACS008	IntrBkSttlmCcy	required	none	identifier:currency	-	-
field	PACS008	IntrBkSttlmAmt	required	none	amount	-	-
field	PACS008	IntrBkSttlmDt	required	none	date	-	-
field	PACS008	DbtrAcct	required	none	identifier:iban	-	-
field	PACS008	CdtrAcct	required	none	identifier:iban	-	-
field	PACS008	DbtrAgt	required	none	identifier:bic	-	-
field	PACS008	CdtrAgt	required	none	identifier:bic	-	-
field	PACS008	DbtrAcct/Prxy/Id	optional	none	text	-	-
field	PACS008	DbtrAcct/Prxy/Tp/Cd	optional	none	text	-	-
field	PACS008	DbtrAcct/Prxy/Tp/Prtry	optional	none	text	-	-
field	PACS008	CdtrAcct/Prxy/Id	optional	none	text	-	-
field	PACS008	CdtrAcct/Prxy/Tp/Cd	optional	none	text	-	-
field	PACS008	CdtrAcct/Prxy/Tp/Prtry	optional	none	text	-	-
field	PACS008	ChrgBr	optional	none	enum	DEBT|CRED|SHAR|SLEV	-
field	PACS008	RmtInf/Ustrd[*]	optional	10	text	-	-
field	PACS008	SplmtryData/LedgerId	optional	none	text	-	-
field	PACS008	SplmtryData/SourceAccountId	optional	none	text	-	-
field	PACS008	SplmtryData/SourceAccountAddress	optional	none	text	-	-
field	PACS008	SplmtryData/TargetAccountId	optional	none	text	-	-
field	PACS008	SplmtryData/TargetAccountAddress	optional	none	text	-	-
field	PACS008	SplmtryData/AssetDefinitionId	optional	none	text	-	-
alias	PACS008	Document/FIToFICstmrCdtTrf/GrpHdr/MsgId	-	-	-	-	MsgId
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt	-	-	-	-	IntrBkSttlmAmt
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt/@Ccy	-	-	-	-	IntrBkSttlmCcy
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmDt	-	-	-	-	IntrBkSttlmDt
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Id/IBAN	-	-	-	-	DbtrAcct
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAcct/Id/IBAN	-	-	-	-	CdtrAcct
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/ClrSysMmbId/MmbId	-	-	-	-	DbtrAgt
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/BICFI	-	-	-	-	DbtrAgt
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/ClrSysMmbId/MmbId	-	-	-	-	CdtrAgt
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/BICFI	-	-	-	-	CdtrAgt
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Prxy/Id	-	-	-	-	DbtrAcct/Prxy/Id
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Prxy/Tp/Cd	-	-	-	-	DbtrAcct/Prxy/Tp/Cd
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Prxy/Tp/Prtry	-	-	-	-	DbtrAcct/Prxy/Tp/Prtry
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAcct/Prxy/Id	-	-	-	-	CdtrAcct/Prxy/Id
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAcct/Prxy/Tp/Cd	-	-	-	-	CdtrAcct/Prxy/Tp/Cd
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAcct/Prxy/Tp/Prtry	-	-	-	-	CdtrAcct/Prxy/Tp/Prtry
alias	PACS008	Document/FIToFICstmrCdtTrf/CdtTrfTxInf/RmtInf/Ustrd[*]	-	-	-	-	RmtInf/Ustrd[*]
schema	PACS002	pacs.002	-	-	-	-	-
field	PACS002	MsgId	optional	none	text	-	-
field	PACS002	StsId	optional	none	text	-	-
field	PACS002	OrgnlMsgId	required	none	text	-	-
field	PACS002	TxSts	optional	none	enum	ACTC|ACSC|ACSP|RJCT|PDNG|PART	-
field	PACS002	RsnCd	optional	none	text	-	-
field	PACS002	AddtlInf[*]	optional	8	text	-	-
alias	PACS002	Document/FIToFIPmtStsRpt/GrpHdr/MsgId	-	-	-	-	MsgId
alias	PACS002	Document/FIToFIPmtStsRpt/TxInfAndSts/StsId	-	-	-	-	StsId
