kotodama-secret-reject-cases-v1	13
name	source	code	primary
direct-secret-control-flow	seiyaku Privacy {\n    kotoage fn direct() authorize("UsePrivacy") {\n        let Secret<int> value = crypto::private_input(0);\n        if value { return; }\n    }\n}	E_SECRET_CONTROL_FLOW	if value { return; }
helper-transitive-secret-control-flow	seiyaku Privacy {\n    fn relay(Secret<int> value) -> Secret<int> { return value; }\n    kotoage fn transitive() authorize("UsePrivacy") {\n        let Secret<int> value = crypto::private_input(0);\n        if relay(value) { return; }\n    }\n}	E_SECRET_CONTROL_FLOW	if relay(value) { return; }
public-secret-return	seiyaku Privacy {\n    kotoage fn expose() -> Secret<int> authorize("UsePrivacy") {\n        return crypto::private_input(0);\n    }\n}	E_SECRET_PUBLIC_RETURN	Secret<int>
public-secret-parameter	seiyaku Privacy {\n    kotoage fn accept(Secret<int> value) authorize("UsePrivacy") {}\n}	E_SECRET_PUBLIC_PARAMETER	Secret<int>
secret-log	seiyaku Privacy {\n    kotoage fn log_secret() authorize("UsePrivacy") {\n        let Secret<int> value = crypto::private_input(0);\n        debug::info(value);\n    }\n}	E_SECRET_LOG	debug::info(value)
secret-bearing-durable-state-type	seiyaku Privacy {\n    state Secret<int> leaked;\n    hajimari() {}\n}	E_SECRET_STATE_TYPE	Secret<int>
secret-durable-state-key	seiyaku Privacy {\n    state StateMap<int, int> values;\n    kotoage fn write() authorize("UsePrivacy") {\n        let Secret<int> key = crypto::private_input(0);\n        values[key] = 1;\n    }\n}	E_SECRET_STATE_KEY	values[key] = 1;
secret-durable-state-value	seiyaku Privacy {\n    state StateMap<int, int> values;\n    kotoage fn write() authorize("UsePrivacy") {\n        let Secret<int> value = crypto::private_input(0);\n        values[0] = value;\n    }\n}	E_SECRET_STATE_WRITE	values[0] = value;
secret-raw-state-host-sink	seiyaku Privacy {\n    kotoage fn write() authorize("UsePrivacy") {\n        let Secret<int> path = crypto::private_input(0);\n        state::set(path: path, value: 1);\n    }\n}	E_SECRET_STATE_SINK	state::set(path: path, value: 1)
secret-ledger-query-sink	seiyaku Privacy {\n    kotoage fn query() authorize("UsePrivacy") {\n        let Secret<int> id = crypto::private_input(0);\n        let result = ledger::query::account(id: id);\n    }\n}	E_SECRET_HOST_SINK	ledger::query::account(id: id)
secret-ledger-write-sink	seiyaku Privacy {\n    kotoage fn register() authorize("UsePrivacy") {\n        let Secret<int> domain = crypto::private_input(0);\n        ledger::domain::register(domain: domain);\n    }\n}	E_SECRET_HOST_SINK	ledger::domain::register(domain: domain)
secret-private-input-index	seiyaku Privacy {\n    kotoage fn dynamic_index() authorize("UsePrivacy") {\n        let Secret<int> index = crypto::private_input(0);\n        let Secret<int> value = crypto::private_input(index);\n    }\n}	E_SECRET_PRIVATE_INPUT_INDEX	crypto::private_input(index)
mixed-public-secret-commitment	seiyaku Privacy {\n    kotoage fn weak_commitment() authorize("UsePrivacy") {\n        let Secret<int> value = crypto::private_input(0);\n        let commitment = crypto::valcom(left: value, right: 7);\n    }\n}	E_SECRET_MIXED_COMMITMENT	crypto::valcom(left: value, right: 7)
